10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,10,500,
